                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-24.10.1"                                 "CRMATH"                               "20250512"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                         virial_thm_P_avg                       virial_thm_rel_err               log_total_angular_momentum                              num_retries                                num_iters                    num_solver_iterations 
                                       2                                      701                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2174598169449130E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388973335907184E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388973335907184E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836640981030E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9256836640981030E+000                 -4.9256836642081252E+000                 -1.4521986232922011E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264971534920514E+007                  3.6416906363251518E+000                  5.3985947567921293E-002                  2.6626486199815369E-001                  3.9055379033068256E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225825282664150E+000                  1.4483780894902890E-001                  1.4891917205086434E+001                  1.4891917205086434E+001                  1.4483780894902890E-001                  6.6225825282664150E+000                  6.2123283091515258E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  1.9140691883960269E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                  3.0686303864960390E-013                 -1.2513055418760135E+001                 -1.2199573091027327E+001                  1.7782034454467297E+048                  6.3606170267541932E-010                 -9.8999999999999986E+001                                        0                                        5                                        5 
                                      10                                      701                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2174594385459436E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087910936E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087910936E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836792808398E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9256836792808398E+000                 -4.9256836793908620E+000                 -1.4521986573679381E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264846085633656E+007                  3.6416918818628794E+000                  5.3990832570973632E-002                  2.6626481342422470E-001                  3.9055380004546838E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225825312378745E+000                  1.4483781255006384E-001                  1.4891917211683037E+001                  1.4891917211683037E+001                  1.4483781255006384E-001                  6.6225825312378745E+000                  6.2123283091330572E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  1.9140691887319605E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495445E-003                  3.4468833607861279E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                  3.2321152875614064E-013                 -1.2490513156604511E+001                 -1.1497872313972209E+001                  1.7782034455086855E+048                  6.3632595974199772E-010                 -9.8999999999999986E+001                                        0                                        5                                        5 
                                      20                                      701                  1.8668799962237366E-003                 -3.4955563250951283E+000                  9.9999999999999822E-001                  3.3298505910360667E+001                 -1.2174594427701095E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068306785318E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068306785318E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837231476318E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837231476318E+000                 -4.9256837232576540E+000                 -1.4521987296776794E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264847457050253E+007                  3.6416918685603825E+000                  5.3990779586091928E-002                  2.6626481353677794E-001                  3.9055380002295763E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225825367570605E+000                  1.4483782482047974E-001                  1.4891917229499231E+001                  1.4891917229499231E+001                  1.4483782482047974E-001                  6.6225825367570605E+000                  6.2123283091005854E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  1.9140691872720524E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861288E-003                  9.3805276451495410E-003                  3.4468833607861279E-003                  9.3805276451495376E-003                  6.9999999999999951E-001                  2.7997020236474851E-001                  3.1306418998388699E-013                 -1.2504366606550532E+001                 -1.1196303348155347E+001                  1.7782034459432061E+048                  6.3630296483983895E-010                 -9.8999999999999986E+001                                        0                                        4                                        4 
                                      30                                      701                  1.1818815689988481E-002                 -2.7037438646188803E+000                  9.9999999999999134E-001                  3.3298505910360667E+001                 -1.2174594431814516E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729494583928E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729494583928E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838086523809E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838086523809E+000                 -4.9256838087624022E+000                 -1.4521987947891979E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264847568269007E+007                  3.6416918672734147E+000                  5.3990775011581345E-002                  2.6626481382345785E-001                  3.9055379996562136E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225825322897913E+000                  1.4483786383462208E-001                  1.4891917263865039E+001                  1.4891917263865039E+001                  1.4483786383462208E-001                  6.6225825322897913E+000                  6.2123283091428994E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  1.9140691701809889E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  3.4468833607861271E-003                  9.3805276451495445E-003                  6.9999999999999574E-001                  2.7997020236474685E-001                  3.3298303948290748E-013                 -1.2477577886753650E+001                 -1.1022483711366579E+001                  1.7782034486554637E+048                  6.3634384341886604E-010                 -9.8999999999999986E+001                                        0                                        5                                        5 
                                      40                                      701                  7.3438578398454232E-002                 -1.9119314041426323E+000                  9.9999999999995026E-001                  3.3298505910360646E+001                 -1.2174594423975810E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651712244842E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651712244842E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838718309410E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9256838718309410E+000                 -4.9256838719409632E+000                 -1.4521987912078417E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264847496059503E+007                  3.6416918683362827E+000                  5.3990778284646546E-002                  2.6626481333425528E-001                  3.9055380006346008E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225825917378831E+000                  1.4483786261021991E-001                  1.4891917322809979E+001                  1.4891917322809979E+001                  1.4483786261021991E-001                  6.6225825917378831E+000                  6.2123283087494396E-001                  8.5000496627254174E-001                  1.2966429887659312E+000                  1.9140692042544561E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861249E-003                  9.3805276451495393E-003                  3.4468833607861249E-003                  9.3805276451495358E-003                  6.9999999999996299E-001                  2.7997020236473402E-001                  3.0986965392153724E-013                 -1.2508820952898278E+001                 -1.0895870114180546E+001                  1.7782034654712548E+048                  6.3629894289630178E-010                 -9.8999999999999986E+001                                        0                                        5                                        5 
                                      50                                      701                  4.5497190750010669E-001                 -1.1201189436663841E+000                  9.9999999999969502E-001                  3.3298505910360539E+001                 -1.2174594439656424E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.9205794138129330E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.9205794138129330E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836506998267E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9256836506998267E+000                 -4.9256836508098489E+000                 -1.4521986968414526E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264847664906355E+007                  3.6416918739833180E+000                  5.3990781474168935E-002                  2.6626480363494626E-001                  3.9055380200331080E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225826165955555E+000                  1.4483797039322169E-001                  1.4891917455399232E+001                  1.4891917455399232E+001                  1.4483797039322169E-001                  6.6225826165955555E+000                  6.2123283086203918E-001                  8.5000496627254141E-001                  1.2966429887659334E+000                  1.9140691780727213E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999829E-001                  2.7997020236474884E-001                  3.4468833607861245E-003                  9.3805276451495393E-003                  3.4468833607861284E-003                  9.3805276451495393E-003                  6.9999999999978513E-001                  2.7997020236466313E-001                  3.0723884386972202E-013                 -1.2512523877794745E+001                 -1.0798938296059383E+001                  1.7782035693296859E+048                  6.3629324829510536E-010                 -9.8999999999999986E+001                                        0                                        5                                        5 
                                      60                                      701                  2.8173257176583335E+000                 -3.2830648319013606E-001                  9.9999999999811429E-001                  3.3298505910359850E+001                 -1.2174594837729385E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.2807990858523520E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.2807990858523520E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256821423687160E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9256821423687160E+000                 -4.9256821424787391E+000                 -1.4521982254778349E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264860433778495E+007                  3.6416918667723395E+000                  5.3990443672638437E-002                  2.6626464915613707E-001                  3.9055383289900401E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225827613588990E+000                  1.4483845908087284E-001                  1.4891918089003893E+001                  1.4891918089003893E+001                  1.4483845908087284E-001                  6.6225827613588990E+000                  6.2123283078233416E-001                  8.5000496627253797E-001                  1.2966429887659439E+000                  1.9140690774933798E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999998841E-001                  2.7997020236474879E-001                  3.4468833607861219E-003                  9.3805276451495393E-003                  3.4468833607861288E-003                  9.3805276451495462E-003                  6.9999999999867935E-001                  2.7997020236422071E-001                  3.1813771743713107E-013                 -1.2497384839211499E+001                 -1.0719391807207932E+001                  1.7782042105026267E+048                  6.3631072116211819E-010                 -9.8999999999999986E+001                                        0                                        4                                        4 
                                      70                                      701                  1.7444397846610435E+001                  4.6350597728611193E-001                  9.9999999998832934E-001                  3.3298505910355601E+001                 -1.2174597583887575E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.2743409470307733E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.2743409470307733E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256728065313879E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256728065313879E+000                 -4.9256728066414164E+000                 -1.4521953180725127E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1264946200105555E+007                  3.6416917744667154E+000                  5.3988116233447771E-002                  2.6626367004779078E-001                  3.9055402872024829E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225836258058690E+000                  1.4484150355009451E-001                  1.4891921998426008E+001                  1.4891921998426008E+001                  1.4484150355009451E-001                  6.6225836258058690E+000                  6.2123283031051568E-001                  8.5000496627251809E-001                  1.2966429887660118E+000                  1.9140684297395271E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999992801E-001                  2.7997020236474879E-001                  3.4468833607861210E-003                  9.3805276451495376E-003                  3.4468833607861279E-003                  9.3805276451495480E-003                  6.9999999999182461E-001                  2.7997020236148162E-001                  3.2076776449647601E-013                 -1.2493809282547247E+001                 -1.0652625081794387E+001                  1.7782081802097511E+048                  6.3631130812201338E-010                 -9.8999999999999986E+001                                        0                                        5                                        5 
                                      80                                      701                  1.0801137310051504E+002                  1.2553184377623601E+000                  9.9999999992774413E-001                  3.3298505910329290E+001                 -1.2174614607981011E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.2748439680919528E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.2748439680919528E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256150033537889E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9256150033537880E+000                 -4.9256150034638475E+000                 -1.4521773168704321E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1265475950455399E+007                  3.6416912153083740E+000                  5.3973755424260778E-002                  2.6625760795987946E-001                  3.9055524113519939E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.6225889993775606E+000                  1.4486033204961782E-001                  1.4891946203956991E+001                  1.4891946203956991E+001                  1.4486033204961782E-001                  6.6225889993775606E+000                  6.2123282737443986E-001                  8.5000496627239308E-001                  1.2966429887664324E+000                  1.9140644392070847E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999955287E-001                  2.7997020236474879E-001                  3.4468833607861184E-003                  9.3805276451495393E-003                  3.4468833607861301E-003                  9.3805276451495497E-003                  6.9999999994938511E-001                  2.7997020234451969E-001                  3.2583674500657973E-013                 -1.2486999941348101E+001                 -1.0595290829968128E+001                  1.7782327591033574E+048                  6.3630141799982618E-010                 -9.8999999999999986E+001                                        0                                        2                                        2 
