                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-24.10.1"                                 "CRMATH"                               "20250513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                         virial_thm_P_avg                       virial_thm_rel_err               log_total_angular_momentum                              num_retries                                num_iters                    num_solver_iterations 
                                     296                                      830                  9.3062386104816017E+009                  7.3110522130055671E+000                  9.9679063921196553E-001                  3.3297109861267181E+001                 -1.2505595458437535E+001                  0.0000000000000000E+000                  9.9999999992962540E-001                  9.7740700791406077E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992962540E-001                  9.7740700791406077E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9363247417970852E-001                 -3.6441874912701010E+001                 -1.5653559774527022E+001                  1.9363247417970858E-001                  4.4472139422481821E-002                 -3.4294617585499637E-001                 -3.6441874912701010E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.3614742267845665E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1975701284222953E+007                  3.7610682684511181E+000                  1.9358082094903403E-001                  9.7307034436777920E-002                  4.2420575093360853E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2749276778075220E+000                  2.7548613107493054E+000                  1.7834866445830890E+001                  1.7834866445830890E+001                  2.7548613107493054E+000                  7.2749276778075220E+000                  1.3398353828264948E+000                  5.0004406915298938E-001                  4.0598210257402521E+000                  5.8125149818511224E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8138305949662268E-005                  9.8003325019211274E-001                  5.3751149899414408E-005                  3.8852433787665164E-003                  3.4468833607861063E-003                  9.3805276451495480E-003                  6.0343454734188295E-001                  3.7241787384259423E-001                  2.0927964153089662E-013                 -1.2679273017245768E+001                 -1.0293612269812218E+001                  6.0959041936303369E+048                  6.0233208534245803E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     300                                      833                  9.4057547165593147E+009                  7.3317808019749480E+000                  9.9675916402616194E-001                  3.3297096147539541E+001                 -1.2495875998153725E+001                  0.0000000000000000E+000                  9.9999999992493793E-001                  9.7707591529463966E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992493793E-001                  9.7707591529463966E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9987457676613385E-001                 -3.6344173087027848E+001                 -9.8999999999999986E+001                  1.9987457676613349E-001                  4.4299195818697713E-002                 -3.2143690190866936E-001                 -3.6344173087027848E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5188931566454432E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1706416666738678E+007                  3.7608183253924543E+000                  1.9981392973016168E-001                  1.0092347494466883E-001                  4.2348109145926704E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2753915995500593E+000                  2.7756710550750876E+000                  1.7856923435621294E+001                  1.7856923435621294E+001                  2.7756710550750876E+000                  7.2753915995500593E+000                  1.3399243929932410E+000                  5.0002422741122265E-001                  4.0603112378132860E+000                  5.7780626725651576E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8454822436813735E-005                  9.8007303047401961E-001                  5.3873474513775024E-005                  3.8846320915905453E-003                  3.4468833607861006E-003                  9.3805276451495428E-003                  6.0187153113074865E-001                  3.7394927152023028E-001                  2.1867941247690687E-013                 -1.2660192101592168E+001                 -1.0285417231489218E+001                  6.0915607963699467E+048                  6.1320742053900475E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     310                                      833                  9.5840654652392673E+009                  7.2161918149810962E+000                  9.9670086344653919E-001                  3.3297070744853080E+001                 -1.2477076477372092E+001                  0.0000000000000000E+000                  9.9999999992025035E-001                  9.7632741372632115E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992025035E-001                  9.7632741372632115E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1140763745191629E-001                 -3.6165509406099034E+001                 -1.5352529778863040E+001                  2.1140763745191643E-001                  4.3597329115374776E-002                 -2.8276481758371591E-001                 -3.6165509406099034E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.0430073891181327E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1220402798392603E+007                  3.7602757454601443E+000                  2.1133363962423368E-001                  1.0776848975632555E-001                  4.2210954822828919E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2763574024875100E+000                  2.8155497565244234E+000                  1.7899416132519701E+001                  1.7899416132519701E+001                  2.8155497565244234E+000                  7.2763574024875100E+000                  1.3400006757070877E+000                  5.0000722332298142E-001                  4.0607313712268676E+000                  5.7129111831057360E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4446645961841868E-005                  9.8010713749742762E-001                  5.4071999081011855E-005                  3.8841060157412833E-003                  3.4468833607861011E-003                  9.3805276451495428E-003                  5.9901192275601145E-001                  3.7675022390229290E-001                  1.9971245236910166E-013                 -1.2699594855376739E+001                 -1.0267180087643693E+001                  6.0819805333495137E+048                  6.3484612130146617E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     320                                      840                  9.7365496335069294E+009                  7.1560229998160443E+000                  9.9664895095524264E-001                  3.3297048124329223E+001                 -1.2460436096875547E+001                  0.0000000000000000E+000                  9.9999999992025035E-001                  9.7552376465784163E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992025035E-001                  9.7552376465784163E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2163693852008232E-001                 -3.6005412730444753E+001                 -9.8999999999999986E+001                  2.2163693852008226E-001                  4.2433385565485600E-002                 -2.4932585076837022E-001                 -3.6005412730444753E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.3792351083718560E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0802033875311678E+007                  3.7597136588389386E+000                  2.2155597204895822E-001                  1.1400382921109835E-001                  4.2086021828494884E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2773765817005680E+000                  2.8525430649596522E+000                  1.7939116626536620E+001                  1.7939116626536620E+001                  2.8525430649596522E+000                  7.2773765817005680E+000                  1.3400232351115713E+000                  5.0000219378708266E-001                  4.0608556064532078E+000                  5.6532207983970357E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3875741651303985E-006                  9.8011723796977379E-001                  5.4202868875880580E-005                  3.8839493044210823E-003                  3.4468833607860998E-003                  9.3805276451495445E-003                  5.9650179985253848E-001                  3.7920793008840015E-001                  2.1171092749192152E-013                 -1.2674256725225915E+001                 -1.0250206760486545E+001                  6.0714960268319625E+048                  6.5582775917729283E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     330                                      851                  9.8696847286292572E+009                  7.0982240869857591E+000                  9.9660194492357490E-001                  3.3297027640746130E+001                 -1.2445288340111889E+001                  0.0000000000000000E+000                  9.9999999991400035E-001                  9.7465584528737781E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991400035E-001                  9.7465584528737781E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3086495883045935E-001                 -3.5858947447157362E+001                 -9.8999999999999986E+001                  2.3086495883045935E-001                  4.0858135521839999E-002                 -2.1969535475465199E-001                 -3.5858947447157362E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.7690231432864667E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0434578881981442E+007                  3.7591271771430215E+000                  2.3076709059156530E-001                  1.1978235187423761E-001                  4.1970246539401188E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2783898865166705E+000                  2.8875016755034615E+000                  1.7976827355802516E+001                  1.7976827355802516E+001                  2.8875016755034615E+000                  7.2783898865166705E+000                  1.3400300795209501E+000                  5.0000066732973480E-001                  4.0608932903162263E+000                  5.5971676432703577E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3346594696962307E-006                  9.8012030899533098E-001                  5.4275584663974723E-005                  3.8839013719145442E-003                  3.4468833607860980E-003                  9.3805276451495497E-003                  5.9425834147852896E-001                  3.8140368823223669E-001                  2.1104952003625431E-013                 -1.2675615631170521E+001                 -1.0234059036649510E+001                  6.0600992457429100E+048                  6.7625988615080195E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     340                                      851                  1.0093170775710608E+010                  7.6354448135826996E+000                  9.9651935653388790E-001                  3.3296991649276968E+001                 -1.2422658000107271E+001                  0.0000000000000000E+000                  9.9999999990775024E-001                  9.7308623134509509E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999990775024E-001                  9.7308623134509509E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4682313679007320E-001                 -3.5587918535139679E+001                 -9.8999999999999986E+001                  2.4682313679007287E-001                  3.5831444428169573E-002                 -1.6792897950640456E-001                 -3.5587918535139679E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.6297088763282682E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8182118094029333E+006                  3.7578833742845807E+000                  2.4668905120739271E-001                  1.3023093789903187E-001                  4.1760914904213662E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2806494266573729E+000                  2.9517220627408922E+000                  1.8046865426825857E+001                  1.8046865426825857E+001                  2.9517220627408922E+000                  7.2806494266573729E+000                  1.3400327547198001E+000                  5.0000007034139182E-001                  4.0609080134912432E+000                  5.4956550209191315E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4068278357016281E-007                  9.8012151368099587E-001                  5.4325626704580178E-005                  3.8838824228041788E-003                  3.4468833607860950E-003                  9.3805276451495410E-003                  5.9037107898596219E-001                  3.8520633408671756E-001                  1.8748610696040766E-013                 -1.2727030908704149E+001                 -1.0216678480579969E+001                  6.0343429079094458E+048                  7.1633534291674431E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     350                                      911                  1.0953244880011978E+010                  7.8493729964966104E+000                  9.9614850452120629E-001                  3.3296829997666364E+001                 -1.2308213078482748E+001                  0.0000000000000000E+000                  9.9999999984993782E-001                  9.5389622163680732E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999984993782E-001                  9.5389622163680732E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1297180749331088E-001                 -3.3932582680494860E+001                 -9.8999999999999986E+001                  3.1297180749331049E-001                 -3.9949334083583525E-002                  5.8289298023042967E-002                 -3.3932582680494860E+001                  1.6258749256112225E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0836817266330261E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.1053611937478310E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4348726020944463E+006                  3.7469485691013982E+000                  3.1239968597778150E-001                  1.8495586565059147E-001                  4.0664799833076426E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2988785739880155E+000                  3.3440760174200590E+000                  1.8492990404974446E+001                  1.8492990404974446E+001                  3.3440760174200590E+000                  7.2988785739880155E+000                  1.3400330694192684E+000                  5.0000000000020006E-001                  4.0609097435873283E+000                  4.9012016099403972E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9983269550165927E-013                  9.8012165676391494E-001                  5.4338311006054129E-005                  3.8838801309246432E-003                  3.4468833607860963E-003                  9.3805276451495480E-003                  5.7372884383229072E-001                  4.0144818488319861E-001                  2.3486334513468660E-013                 -1.2629184757798413E+001                 -9.1193269296047852E+000                  5.7601362438340910E+048                  1.0148942492166275E-010                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     360                                     1004                  1.1388246710780306E+010                  7.4316950789844691E+000                  9.9591234650305682E-001                  3.3296727026791181E+001                 -1.2232439323714894E+001                  0.0000000000000000E+000                  9.9999999970150055E-001                  8.6847188395981945E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999970150055E-001                  8.6847188395981945E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2888084739970119E-001                 -3.0917359123993002E+001                 -1.5051499783199059E+001                  3.2888084739970136E-001                 -2.7804403443834141E-001                  2.0555170572012985E-001                 -3.0917359123993002E+001                  2.0805070166284347E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6219127695763424E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1676172102426390E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3426720154152121E+006                  3.7230480120258371E+000                  3.2639583333617811E-001                  2.3975505348091175E-001                  3.9567786367718232E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.3468900044871575E+000                  3.8968527901168342E+000                  1.9199453857171388E+001                  1.9199453857171388E+001                  3.8968527901168342E+000                  7.3468900044871575E+000                  1.3400330694201541E+000                  5.0000000000000000E-001                  4.0609097435921644E+000                  4.1850607437589726E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8012165676434093E-001                  5.4338311158174510E-005                  3.8838801309170629E-003                  3.4468833607494012E-003                  9.3805276451495462E-003                  5.6434229997473817E-001                  4.1055166479503885E-001                  8.5848034505680798E-011                 -1.0066269643579460E+001                 -8.5419714772348172E+000                  5.0551079303449522E+048                  1.5773152339590747E-010                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     370                                     1077                  1.1561014550022970E+010                  7.0948119415552169E+000                  9.9580496593323820E-001                  3.3296680198068366E+001                 -1.2172903168214399E+001                  0.0000000000000000E+000                  9.9999999942025042E-001                  7.0342421337352690E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999942025042E-001                  7.0342421337352690E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4274568873567218E-001                 -2.8082496634367672E+001                 -9.8999999999999986E+001                  3.4274568873567185E-001                 -5.1125657473938946E-001                  2.7726534776981693E-001                 -2.8082496634367672E+001                  2.4055398643629565E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7994837744286582E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2981827699222900E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4803697975339787E+006                  3.7019068082849098E+000                  3.4045338339415532E-001                  2.8906623599175540E-001                  3.8581094430273151E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.3936682499678810E+000                  4.2615996662577995E+000                  1.9719748126647023E+001                  1.9719748126647023E+001                  4.2615996662577995E+000                  7.3936682499678810E+000                  1.3400330694201545E+000                  5.0000000000000000E-001                  4.0609097435921644E+000                  3.8081592233606876E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8012165676434093E-001                  5.4338311158174524E-005                  3.8838801309170634E-003                  3.4468827325410648E-003                  9.3805276451966995E-003                  5.6053154378688275E-001                  4.1424068206345804E-001                  3.9358834692842765E-012                 -1.1404957768318946E+001                 -8.3553513175629543E+000                  4.4848767521953825E+048                  2.2734448224212257E-010                 -9.8999999999999986E+001                                        0                                       10                                       10 
