                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-24.10.1"                                 "CRMATH"                               "20250513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                         virial_thm_P_avg                       virial_thm_rel_err               log_total_angular_momentum                              num_retries                                num_iters                    num_solver_iterations 
                                   13016                                     2166                  1.2393524910427698E+010                  1.6146292400137385E+000                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9971777601552925E-001                  9.8959186584400016E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9971777601552925E-001                  9.8959186584400016E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2781583469542903E-001                  4.8587150984567884E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5289698592461150E+001                  3.5634452842599340E+000                  3.2596432409899356E+000                  2.0255842128395960E+000                  1.1734644897139902E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0020265676281230E+000                  6.1161200242667455E+000                  2.2600745035465557E+001                  2.2600745035465557E+001                  6.1161200242667455E+000                  8.0020265676281230E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530710197508985E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779921138342719E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5350644550048803E-003                  3.6707393760984558E-002                  2.7020173645520146E-013                 -1.2568311864305516E+001                 -7.4791021492496945E+000                  5.3073901708252968E+049                  3.9029928147228993E-008                 -9.8999999999999986E+001                                        4                                        6                                        6 
                                   13020                                     1412                  1.2393524959215923E+010                  1.0514929391405792E+000                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9969332041063574E-001                  9.8978385286030079E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9969332041063574E-001                  9.8978385286030079E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2780519172015394E-001                  4.8591556996555646E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2706717739944906E+001                  3.5627845764484500E+000                  3.2807696213075386E+000                  2.0374688186213659E+000                  9.3577237407858602E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0020935872173578E+000                  6.1162551715092981E+000                  2.2600955416320069E+001                  2.2600955416320069E+001                  6.1162551715092981E+000                  8.0020935872173578E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530655836290157E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779800362638455E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5342809232105965E-003                  3.6706468016862136E-002                  1.8651054382598666E-013                 -1.2729296611597878E+001                 -7.4792819219752076E+000                  5.3097548277505148E+049                  4.1183240546460761E-008                 -9.8999999999999986E+001                                        6                                        7                                        7 
                                   13030                                     1450                  1.2393525019235374E+010                  7.2773196907375504E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9967266320803927E-001                  9.9051045213446687E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9967266320803927E-001                  9.9051045213446687E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2780519172015461E-001                  4.8591556996555713E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3252208924634282E+001                  3.5649122941602580E+000                  3.2788175532335093E+000                  2.0322373491607357E+000                  1.0404017632911938E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0021715497212362E+000                  6.1164135158330630E+000                  2.2601201881135282E+001                  2.2601201881135282E+001                  6.1164135158330630E+000                  8.0021715497212362E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530588563145186E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779651249827395E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5327476942776642E-003                  3.6705945042504226E-002                  1.9109376596815295E-013                 -1.2718753480657139E+001                 -7.4794957704048226E+000                  5.3127459533691192E+049                  3.9432222236816591E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
                                   13040                                     1468                  1.2393525068224823E+010                  6.7689203883104598E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9971777601552914E-001                  9.9128118413599908E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9971777601552914E-001                  9.9128118413599908E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2783444775265098E-001                  4.8591556996555652E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6098294775419809E+001                  3.5683548332478288E+000                  3.2596301476814173E+000                  2.0157585682095487E+000                  1.3699773823149364E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0022315960469914E+000                  6.1165363686495331E+000                  2.2601393082284645E+001                  2.2601393082284645E+001                  6.1165363686495331E+000                  8.0022315960469914E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530533547212368E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779529099075047E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5307377930063628E-003                  3.6706354825775528E-002                  1.7512714489189883E-013                 -1.2756646532596895E+001                 -7.4796596636728330E+000                  5.3151198746518638E+049                  3.5654117119937196E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
                                   13050                                     1442                  1.2393525117363457E+010                  7.1448140167361607E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9974123211994614E-001                  9.9206614587901309E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9974123211994614E-001                  9.9206614587901309E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2783444775265298E-001                  4.8591556996555857E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9935412119599476E+001                  3.5724483216626610E+000                  3.2358404765459006E+000                  1.9956767558121251E+000                  1.7716136302634067E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0022890972427057E+000                  6.1166547309810531E+000                  2.2601577278201336E+001                  2.2601577278201336E+001                  6.1166547309810531E+000                  8.0022890972427057E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530478303942885E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779406192831823E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5277796012752016E-003                  3.6707799745890092E-002                  1.9988800655140644E-013                 -1.2699213263134522E+001                 -7.4798140255176540E+000                  5.3173856650428597E+049                  3.1611744657783443E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
                                   13060                                     1459                  1.2393525171976719E+010                  7.5482422198244370E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9977981306238572E-001                  9.9290483504654892E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9977981306238572E-001                  9.9290483504654892E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2783444775265076E-001                  4.8591556996555629E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4756513534912102E+001                  3.5771574368525396E+000                  3.2091205783144163E+000                  1.9728985763166249E+000                  2.2271772201734089E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0023503437364596E+000                  6.1167815334845796E+000                  2.2601774591911095E+001                  2.2601774591911095E+001                  6.1167815334845796E+000                  8.0023503437364596E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530416853849433E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779269158509377E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5230670760690803E-003                  3.6710889191014576E-002                  2.0631217165620901E-013                 -1.2685475149500457E+001                 -7.4799772395138353E+000                  5.3197626517811082E+049                  2.7598390004655288E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
                                   13070                                     1448                  1.2393525234453798E+010                  8.3102276385431062E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9981353174000331E-001                  9.9378654298347580E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9981353174000331E-001                  9.9378654298347580E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2782900476985872E-001                  4.8591556996555452E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0656750627661992E+001                  3.5826645952611171E+000                  3.1806094026700555E+000                  1.9476286716772906E+000                  2.7325753129600949E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0024176750546587E+000                  6.1169217190956306E+000                  2.2601992712465936E+001                  2.2601992712465936E+001                  6.1169217190956306E+000                  8.0024176750546587E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530346496156990E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6779111850697440E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5153715251908212E-003                  3.6716760221492770E-002                  1.9787803668595640E-013                 -1.2703602407286455E+001                 -7.4801542737964297E+000                  5.3223170629855714E+049                  2.3729649118841785E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
                                   13080                                     1447                  1.2393525306050167E+010                  8.7720433788186591E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9984827322727299E-001                  9.9470876173335221E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9984827322727299E-001                  9.9470876173335221E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2782900476985861E-001                  4.8591556996555413E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7735119506307960E+001                  3.5891242382786457E+000                  3.1513537663403945E+000                  1.9200815674774032E+000                  3.2835173969578446E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0024919813939874E+000                  6.1170772836719198E+000                  2.2602234741717151E+001                  2.2602234741717151E+001                  6.1170772836719198E+000                  8.0024919813939874E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530265793548521E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6778930894922612E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.5028036806161846E-003                  3.6727269222443397E-002                  1.7460682559785611E-013                 -1.2757938783187468E+001                 -7.4803465062762369E+000                  5.3250585612977688E+049                  2.0148573256643367E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
                                   13090                                     1460                  1.2393525386816866E+010                  9.3990486500609027E-001                  5.3758513004984732E-001                  3.3028953157708131E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9988474915382786E-001                  9.9635490358329082E-001                  9.9607445013635698E-001                  9.9564404400494533E-001                  9.9988474915382786E-001                  9.9635490358329082E-001                  9.9607445013635698E-001                  9.9564404400494533E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2787774862467052E-001                  4.8591556996555818E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6082239906901080E+001                  3.5968472938933251E+000                  3.1225547163615919E+000                  1.8902359312586421E+000                  3.8804301213330650E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.0025731432285632E+000                  6.1172480384056085E+000                  2.2602500383874393E+001                  2.2602500383874393E+001                  6.1172480384056085E+000                  8.0025731432285632E+000                  1.7509874530076028E+000                  5.0000000000000000E-001                  1.4063447598574724E+001                  1.2530174659070561E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000232E-099                  2.6778725907878402E-027                  4.2790912121863384E-001                  5.5013273486012704E-001                  2.9747851323463997E-003                  9.3805472795232166E-003                  6.4826913507953160E-003                  3.6745097418188974E-002                  1.7532755282237268E-013                 -1.2756149828923698E+001                 -7.4805504568336207E+000                  5.3279593275254020E+049                  1.6956129727428902E-008                 -9.8999999999999986E+001                                        7                                        6                                        6 
