                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-25.3.1"                                 "CRMATH"                               "20250610"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      833                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999963979846E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999963979846E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3152121597768112E+000                 -1.5935983331991075E+000                 -1.9045703252886796E+000                  8.0253595282641346E+000                  0.0000000000000000E+000                  2.3280339408659433E+001                  6.5698379492170851E+000                  6.9962367023498420E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999961E-100                  4.0414512118337964E-002                                        0                                        4 
                                       5                                      833                  7.4416000000000014E-005                 -4.6832750158095005E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999962337638E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999962337638E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3149817880219858E+000                 -1.5945249249487461E+000                 -1.9045728776538480E+000                  8.0253646329944726E+000                  0.0000000000000000E+000                  2.3280339408659717E+001                  6.5698379492171561E+000                  6.9962367023488357E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999961E-100                  4.0414512118337964E-002                                        0                                        6 
                                      10                                      833                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999958620533E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999958620533E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3143738687630284E+000                 -1.5969700041690562E+000                 -1.9045795787460895E+000                  8.0253780351789548E+000                  0.0000000000000000E+000                  2.3280339408659611E+001                  6.5698379492171579E+000                  6.9962367023458460E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999971E-100                  4.0414512118337964E-002                                        0                                        3 
                                      15                                      833                  7.2035107872931814E-004                 -3.8914625553332525E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999948958607E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999948958607E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3131146226069479E+000                 -1.6020344095132439E+000                 -1.9045932891060211E+000                  8.0254054558988184E+000                  0.0000000000000000E+000                  2.3280339408659600E+001                  6.5698379492171268E+000                  6.9962367023383916E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999961E-100                  4.0414512118337964E-002                                        0                                        3 
                                      20                                      833                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999927919148E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999927919148E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3108492518001240E+000                 -1.6111443512387849E+000                 -1.9046175183551435E+000                  8.0254539143970636E+000                  0.0000000000000000E+000                  2.3280339408659668E+001                  6.5698379492172077E+000                  6.9962367023199228E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999971E-100                  4.0414512118337964E-002                                        0                                        6 
                                      25                                      833                  4.7198108322034473E-003                 -3.0996500948570040E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999880636803E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999880636803E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3074607608182225E+000                 -1.6247713625409270E+000                 -1.9046540420424112E+000                  8.0255269617715985E+000                  0.0000000000000000E+000                  2.3280339408659845E+001                  6.5698379492174510E+000                  6.9962367022739977E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999961E-100                  4.0414512118337964E-002                                        0                                        6 
                                      30                                      833                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999783011295E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999783011295E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3030789621265670E+000                 -1.6423964037743630E+000                 -1.9047029652758196E+000                  8.0256248082384154E+000                  0.0000000000000000E+000                  2.3280339408660513E+001                  6.5698379492179066E+000                  6.9962367021596554E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999971E-100                  4.0414512118337964E-002                                        0                                        4 
                                      35                                      833                  2.9483411457712130E-002                 -2.3078376343807561E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999587067345E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999587067345E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2976230812903697E+000                 -1.6643429634403102E+000                 -1.9047644834363977E+000                  8.0257478445595716E+000                  0.0000000000000000E+000                  2.3280339408661614E+001                  6.5698379492190222E+000                  6.9962367018751523E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431442E-008                  5.9999999999999961E-100                  4.0414512118337964E-002                                        0                                        6 
                                      40                                      833                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.9999999999999998E-001                  3.3076657160744311E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999203989454E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999203989454E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9999999999999998E-001                  5.1686619853246729E-001                  5.1686619853246729E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2909014671046082E+000                 -1.6913790433708427E+000                 -1.9048392950301400E+000                  8.0258974677470558E+000                  0.0000000000000000E+000                  2.3280339408664673E+001                  6.5698379492217960E+000                  6.9962367011673789E+000                  1.7620485998036144E+000                  4.9909214282467651E-001                  1.4613667190348497E+001                  1.0000000000000002E-099                  1.0000000000000002E-099                  3.0093792193084129E-001                  6.7908922021203899E-001                  4.4121580470150461E-018                  5.1051506934431429E-008                  5.9999999999999971E-100                  4.0414512118337964E-002                                        0                                        4 
